Designator,Mid X,Mid Y,Rotation,Layer
C199,229.885,-296.155,90.0,top
C300,50.8,-99.03,270.0,top
C301,41.93,-101.865,0.0,top
C500,154.9,-339.63,0.0,top
C501,144.82,-339.63,0.0,top
C502,165.14,-359.95,0.0,top
C503,154.98,-359.95,180.0,top
C504,144.74,-359.95,180.0,top
C505,134.66,-359.95,180.0,top
J11,50.8,-46.98,0.0,top
J2,195.58,-355.865,90.0,top
J200,105.4419,-349.5268,0.0,top
J3,114.3,-359.95,90.0,top
K199,234.97,-312.685,0.0,top
K500,161.31,-325.385,0.0,top
K900,73.66,-47.02,270.0,top
K901,229.925,-162.825,0.0,top
K903,221.02,-343.165,0.0,top
K904,207.065,-68.845,0.0,top
R100,228.615,-173.98,0.0,top
R101,228.615,-181.6,0.0,top
R300,57.15,-105.4,180.0,top
R301,60.96,-57.14,180.0,top
R501,139.7,-349.79,270.0,top
R502,176.53,-359.95,180.0,top
S109,52.07,-203.465,0.0,top
S111,229.885,-263.885,270.0,top
S113,213.375,-252.455,0.0,top
S114,130.81,-124.725,0.0,top
S115,170.195,-142.505,0.0,top
S116,191.785,-297.17,90.0,top
S117,199.39,-345.705,0.0,top
S120,52.07,-280.66,0.0,top
S121,52.07,-261.62,0.0,top
S122,52.07,-242.295,0.0,top
S123,52.07,-222.24,0.0,top
S124,186.705,-227.33,270.0,top
S125,205.755,-200.925,0.0,top
S126,245.12,-222.25,270.0,top
S127,238.803,-222.1727,270.0,top
S200,128.27,-129.805,0.0,top
S400,200.675,-338.085,0.0,top
S500,113.03,-325.385,0.0,top
S502,140.97,-325.385,0.0,top
S800,88.9,-49.795,270.0,top
U100,212.105,-228.6,0.0,top
U102,210.835,-262.89,90.0,top
U103,210.835,-276.85,90.0,top
U104,241.31,-246.38,0.0,top
U106,210.835,-302.25,90.0,top
U107,213.375,-314.95,90.0,top
U108,171.465,-314.95,90.0,top
U110,173.99,-333.005,90.0,top
U113,171.465,-302.25,90.0,top
U114,172.735,-289.55,90.0,top
U115,208.295,-327.65,90.0,top
U122,92.71,-234.95,90.0,top
U123,92.71,-220.97,90.0,top
U130,172.735,-276.85,90.0,top
U131,172.735,-262.89,90.0,top
U132,210.835,-289.55,90.0,top
U199,241.31,-301.255,0.0,top
U200,93.98,-177.79,90.0,top
U2003,88.9,-248.645,90.0,top
U2004,241.31,-277.125,0.0,top
U201,93.98,-165.09,90.0,top
U202,92.71,-139.69,90.0,top
U203,92.71,-126.99,90.0,top
U205,92.71,-114.29,90.0,top
U206,92.71,-101.59,90.0,top
U207,92.71,-88.89,90.0,top
U208,92.71,-76.19,90.0,top
U210,130.81,-177.79,90.0,top
U212,92.71,-207.275,90.0,top
U213,92.71,-152.39,90.0,top
U215,130.81,-152.39,90.0,top
U217,130.81,-114.29,90.0,top
U218,130.81,-101.59,90.0,top
U223,130.81,-38.09,90.0,top
U224,130.81,-165.09,90.0,top
U225,130.81,-50.79,90.0,top
U226,130.81,-63.49,90.0,top
U227,52.07,-352.055,90.0,top
U228,214.63,-357.135,90.0,top
U229,229.87,-357.135,90.0,top
U230,130.81,-88.89,90.0,top
U231,130.81,-76.19,90.0,top
U232,130.81,-139.69,90.0,top
U300,57.15,-313.68,90.0,top
U301,54.61,-293.36,90.0,top
U302,54.61,-85.08,90.0,top
U303,56.75,-97.81,90.0,top
U304,52.07,-177.79,90.0,top
U305,52.07,-165.09,90.0,top
U307,54.61,-192.035,90.0,top
U309,53.325,-66.96,0.0,top
U310,54.61,-126.99,90.0,top
U311,54.61,-139.69,90.0,top
U312,54.61,-152.39,90.0,top
U313,52.07,-114.29,90.0,top
U401,64.77,-335.545,90.0,top
U402,82.55,-354.595,0.0,top
U408,154.94,-351.06,90.0,top
U500,116.85,-308.6,90.0,top
U501,120.65,-336.815,90.0,top
U502,152.5,-332.01,0.0,top
U503,123.19,-349.515,90.0,top
U510,133.35,-262.89,90.0,top
U511,133.35,-276.85,90.0,top
U512,133.35,-289.55,90.0,top
U514,133.35,-207.275,90.0,top
U515,133.35,-220.97,90.0,top
U516,133.35,-234.95,90.0,top
U517,133.35,-248.645,90.0,top
U518,92.71,-262.89,90.0,top
U519,92.71,-276.85,90.0,top
U520,92.71,-289.55,90.0,top
U600,241.31,-333.0,0.0,top
U710,171.465,-248.645,90.0,top
U711,171.465,-234.95,90.0,top
U712,171.465,-220.97,90.0,top
U713,171.465,-207.275,90.0,top
U714,92.71,-192.035,90.0,top
U715,133.35,-192.035,90.0,top
U720,52.07,-270.51,90.0,top
U721,52.07,-251.185,90.0,top
U722,52.07,-232.41,90.0,top
U723,52.07,-213.35,90.0,top
U800,203.215,-177.79,90.0,top
U801,172.735,-192.035,90.0,top
U802,100.33,-49.795,0.0,top
U803,204.485,-192.035,90.0,top
U804,234.96,-192.035,90.0,top
U805,203.215,-165.09,90.0,top
U900,161.305,-82.815,0.0,top
U901,168.925,-82.815,0.0,top
U902,176.545,-82.815,0.0,top
U903,184.165,-82.815,0.0,top
U904,167.655,-177.79,90.0,top
U905,167.655,-165.09,90.0,top
U906,167.655,-152.39,90.0,top
U907,207.025,-152.5173,90.0,top
U908,207.025,-125.995,90.0,top
U909,205.755,-139.7026,90.0,top
X1,112.9001,-139.6415,90.0,top
X10,154.94,-262.7171,90.0,top
X11,154.94,-276.9762,90.0,top
X12,154.94,-289.785,90.0,top
X13,157.4073,-302.134,90.0,top
X14,81.3936,-308.7085,90.0,top
X15,113.1369,-126.7177,90.0,top
X16,71.12,-251.5,90.0,top
X17,154.94,-207.1417,90.0,top
X18,157.543,-220.8304,90.0,top
X19,157.7115,-234.7098,90.0,top
X2,76.2,-289.785,90.0,top
X20,100.3656,-336.6849,90.0,top
X21,114.1906,-263.125,90.0,top
X22,170.18,-350.745,90.0,top
X23,223.7712,-327.6316,90.0,top
X24,191.785,-262.8287,90.0,top
X25,71.12,-351.953,90.0,top
X26,74.6145,-101.5386,90.0,top
X27,229.885,-287.245,90.0,top
X28,185.5364,-248.5884,90.0,top
X29,113.0991,-114.0747,90.0,top
X3,71.12,-270.745,90.0,top
X30,71.2465,-232.6368,90.0,top
X301,73.66,-62.18,270.0,top
X31,154.94,-192.1511,90.0,top
X32,148.4572,-164.9865,90.0,top
X33,182.8538,-165.0937,90.0,top
X34,111.76,-207.0573,90.0,top
X35,112.8969,-248.4894,90.0,top
X36,157.4428,-314.8243,90.0,top
X37,185.7593,-205.3289,90.0,top
X38,191.785,-276.6799,90.0,top
X39,148.4655,-139.9646,90.0,top
X4,71.12,-213.665,90.0,top
X40,220.6638,-165.1736,90.0,top
X41,220.6638,-177.307,90.0,top
X42,241.2991,-317.765,0.0,top
X43,113.1584,-101.242,90.0,top
X44,113.0511,-50.824,90.0,top
X45,182.8538,-152.1657,90.0,top
X46,148.4572,-152.302,90.0,top
X47,148.4572,-177.5761,90.0,top
X48,111.76,-192.0661,90.0,top
X49,111.76,-234.7198,90.0,top
X5,71.12,-165.325,90.0,top
X50,114.3,-289.785,90.0,top
X51,220.98,-191.721,90.0,top
X52,81.28,-318.8456,90.0,top
X53,90.2214,-67.5218,0.0,top
X54,241.4165,-263.092,0.0,top
X55,241.2904,-291.0441,0.0,top
X56,194.285,-252.3966,0.0,top
X57,113.0145,-88.4631,90.0,top
X58,113.0511,-63.604,90.0,top
X59,221.6475,-125.9901,90.0,top
X6,74.6817,-88.8419,90.0,top
X60,221.6475,-139.7556,90.0,top
X61,221.6475,-152.2487,90.0,top
X62,182.9573,-177.7114,90.0,top
X63,111.76,-220.94,90.0,top
X64,114.3,-277.085,90.0,top
X65,190.3732,-192.0173,90.0,top
X66,224.845,-200.925,0.0,top
X67,237.54,-200.925,0.0,top
X68,229.885,-305.025,90.0,top
X69,191.785,-315.185,90.0,top
X7,74.6654,-76.2239,90.0,top
X70,191.785,-327.885,90.0,top
X71,113.0571,-75.8991,90.0,top
X72,111.76,-151.6762,90.0,top
X73,114.3,-164.8622,90.0,top
X74,114.3,-177.3962,90.0,top
X75,74.57,-114.2898,90.0,top
X76,71.12,-178.025,90.0,top
X77,75.0498,-191.8674,90.0,top
X78,75.015,-152.4275,90.0,top
X79,74.93,-139.604,90.0,top
X8,113.0511,-38.124,90.0,top
X80,74.9468,-126.7679,90.0,top
X9,157.6428,-248.7028,90.0,top
